ID:48.046229.338146,Latitude:29.338146,TotalMRCount:421,Longitude:48.0462,
ID:48.03336829.336959,Latitude:29.336959,TotalMRCount:44,Longitude:48.033368,
ID:48.04237929.345728,Latitude:29.345728,TotalMRCount:6158,Longitude:48.042379,
ID:48.04457929.340816,Latitude:29.340816,TotalMRCount:7915,Longitude:48.044579,
ID:48.04757429.344039,Latitude:29.344039,TotalMRCount:416,Longitude:48.047574,
ID:48.03929.337986,Latitude:29.337986,TotalMRCount:6464,Longitude:48.039,
ID:48.03484629.339247,Latitude:29.339247,TotalMRCount:1511,Longitude:48.034846,
ID:48.04334229.348004,Latitude:29.348004,TotalMRCount:11,Longitude:48.043342,
ID:48.03637629.339732,Latitude:29.339732,TotalMRCount:15431,Longitude:48.036376,
ID:48.03148529.348642,Latitude:29.348642,TotalMRCount:333,Longitude:48.031485,
ID:48.03832929.343383,Latitude:29.343383,TotalMRCount:4385,Longitude:48.038329,
ID:48.03319829.342818,Latitude:29.342818,TotalMRCount:2455,Longitude:48.033198,
ID:48.03984629.344318,Latitude:29.344318,TotalMRCount:571,Longitude:48.039846,
ID:48.03352529.331551,Latitude:29.331551,TotalMRCount:5,Longitude:48.033525,
ID:48.03973529.330336,Latitude:29.330336,TotalMRCount:284,Longitude:48.039735,
ID:48.04403929.341706,Latitude:29.341706,TotalMRCount:1927,Longitude:48.044039,
ID:48.04505529.342179,Latitude:29.342179,TotalMRCount:4572,Longitude:48.045055,
ID:48.03566629.34648,Latitude:29.34648,TotalMRCount:197,Longitude:48.035666,
ID:48.0460729.342653,Latitude:29.342653,TotalMRCount:2035,Longitude:48.04607,
ID:48.04238529.327689,Latitude:29.327689,TotalMRCount:6,Longitude:48.042385,
ID:48.03583529.340622,Latitude:29.340622,TotalMRCount:23726,Longitude:48.035835,
ID:48.0377129.346977,Latitude:29.346977,TotalMRCount:38,Longitude:48.03771,
ID:48.0829929.347524,Latitude:29.347524,TotalMRCount:5,Longitude:48.08299,
ID:48.03565229.346931,Latitude:29.346931,TotalMRCount:50,Longitude:48.035652,
ID:48.04447529.344421,Latitude:29.344421,TotalMRCount:641,Longitude:48.044475,
ID:48.0384229.340228,Latitude:29.340228,TotalMRCount:10732,Longitude:48.03842,
ID:48.03522929.343765,Latitude:29.343765,TotalMRCount:2749,Longitude:48.035229,
ID:48.0394129.341603,Latitude:29.341603,TotalMRCount:3007,Longitude:48.03941,
ID:48.03201329.348203,Latitude:29.348203,TotalMRCount:10034,Longitude:48.032013,
ID:48.03678629.343349,Latitude:29.343349,TotalMRCount:4381,Longitude:48.036786,
ID:48.03727429.344261,Latitude:29.344261,TotalMRCount:977,Longitude:48.037274,
ID:48.04129129.32992,Latitude:29.32992,TotalMRCount:1025,Longitude:48.041291,
ID:48.08104829.343423,Latitude:29.343423,TotalMRCount:101,Longitude:48.081048,
ID:48.03578329.342424,Latitude:29.342424,TotalMRCount:8976,Longitude:48.035783,
ID:48.03830329.344284,Latitude:29.344284,TotalMRCount:3374,Longitude:48.038303,
ID:48.03526929.342413,Latitude:29.342413,TotalMRCount:8367,Longitude:48.035269,
ID:48.04103129.338933,Latitude:29.338933,TotalMRCount:8328,Longitude:48.041031,
ID:48.04396129.34441,Latitude:29.34441,TotalMRCount:371,Longitude:48.043961,
ID:48.03935729.343406,Latitude:29.343406,TotalMRCount:976,Longitude:48.039357,
ID:48.0363529.340633,Latitude:29.340633,TotalMRCount:12477,Longitude:48.03635,
ID:48.04338829.328613,Latitude:29.328613,TotalMRCount:11,Longitude:48.043388,
ID:48.03153729.346839,Latitude:29.346839,TotalMRCount:63,Longitude:48.031537,
ID:48.03674729.344701,Latitude:29.344701,TotalMRCount:481,Longitude:48.036747,
ID:48.03880429.344746,Latitude:29.344746,TotalMRCount:1345,Longitude:48.038804,
ID:48.03107529.345025,Latitude:29.345025,TotalMRCount:99,Longitude:48.031075,
ID:48.03765229.331192,Latitude:29.331192,TotalMRCount:17,Longitude:48.037652,
ID:48.04121329.332624,Latitude:29.332624,TotalMRCount:1915,Longitude:48.041213,
ID:48.0392429.347462,Latitude:29.347462,TotalMRCount:61,Longitude:48.03924,
ID:48.03452729.332475,Latitude:29.332475,TotalMRCount:8,Longitude:48.034527,
ID:48.03274929.340553,Latitude:29.340553,TotalMRCount:75,Longitude:48.032749,
ID:48.04355129.340793,Latitude:29.340793,TotalMRCount:1950,Longitude:48.043551,
ID:48.0434229.3453,Latitude:29.3453,TotalMRCount:512,Longitude:48.04342,
ID:48.08046929.345665,Latitude:29.345665,TotalMRCount:82,Longitude:48.080469,
ID:48.0398229.34522,Latitude:29.34522,TotalMRCount:767,Longitude:48.03982,
ID:48.03790629.340217,Latitude:29.340217,TotalMRCount:27410,Longitude:48.037906,
ID:48.0402529.330348,Latitude:29.330348,TotalMRCount:638,Longitude:48.04025,
ID:48.03731329.342909,Latitude:29.342909,TotalMRCount:4424,Longitude:48.037313,
ID:48.04343329.344849,Latitude:29.344849,TotalMRCount:1274,Longitude:48.043433,
ID:48.04310129.338528,Latitude:29.338528,TotalMRCount:2977,Longitude:48.043101,
ID:48.03443629.33563,Latitude:29.33563,TotalMRCount:84,Longitude:48.034436,
ID:48.0428829.34619,Latitude:29.34619,TotalMRCount:52,Longitude:48.04288,
ID:48.03057429.344563,Latitude:29.344563,TotalMRCount:155,Longitude:48.030574,
ID:48.03559529.331146,Latitude:29.331146,TotalMRCount:12,Longitude:48.035595,
ID:48.07940229.346995,Latitude:29.346995,TotalMRCount:3,Longitude:48.079402,
ID:48.03766529.330741,Latitude:29.330741,TotalMRCount:11,Longitude:48.037665,
ID:48.04389629.346663,Latitude:29.346663,TotalMRCount:27,Longitude:48.043896,
ID:48.03255329.347313,Latitude:29.347313,TotalMRCount:91,Longitude:48.032553,
ID:48.0407929.329458,Latitude:29.329458,TotalMRCount:868,Longitude:48.04079,
ID:48.03052229.346366,Latitude:29.346366,TotalMRCount:49,Longitude:48.030522,
